,id,favorite_count,retweet_count
256,841439858740625411,12135,3462
257,841320156043304961,19054,5231
258,841314665196081154,15247,4395
259,841077006473256960,22013,5042
260,840761248237133825,0,1670
261,840728873075638272,0,15190
262,840698636975636481,172,2
263,840696689258311684,11840,918
264,840632337062862849,8686,1670
265,840370681858686976,15831,4322
266,840268004936019968,18537,5441
267,839990271299457024,12945,2155
268,839549326359670784,26412,7372
269,839290600511926273,0,137
270,839239871831150596,26107,6187
271,838952994649550848,18960,3816
272,838921590096166913,10749,1942
273,838916489579200512,0,32
274,838831947270979586,0,10469
275,838561493054533637,10589,1268
276,838476387338051585,21689,4522
277,838201503651401729,0,9558
278,838150277551247360,1605,316
279,838085839343206401,135,1
280,838083903487373313,17026,2962
281,837820167694528512,32887,7460
282,837482249356513284,3736,424
283,837471256429613056,12373,2146
284,837110210464448512,15526,2254
285,836989968035819520,12341,2194
286,836753516572119041,18725,4417
287,836677758902222849,12215,2116
288,836648853927522308,0,527
289,836397794269200385,0,26217
290,836380477523124226,14319,2859
291,836260088725786625,20630,4123
292,836001077879255040,18456,4070
293,835685285446955009,0,7761
294,835574547218894849,17230,3444
295,835536468978302976,0,1611
296,835309094223372289,0,19971
297,835297930240217089,15948,2848
298,835264098648616962,7473,1611
299,835246439529840640,2037,68
300,835172783151792128,25323,5499
301,835152434251116546,21668,2864
302,834931633769889797,10436,1545
303,834786237630337024,20798,5290
304,834574053763584002,13217,2408
305,834477809192075265,0,10161
306,834458053273591808,9322,1600
307,834209720923721728,19905,4528
308,834167344700198914,15345,3510
309,834089966724603904,9726,2045
310,834086379323871233,12659,2110
311,833863086058651648,13034,2301
312,833826103416520705,17583,3600
313,833732339549220864,0,211
314,833722901757046785,20264,3104
315,833479644947025920,14430,1951
316,833124694597443584,19612,4644
317,832998151111966721,12866,2108
318,832769181346996225,0,38
319,832757312314028032,16367,3468
320,832682457690300417,11521,2795
321,832645525019123713,2840,511
322,832636094638288896,15409,2663
323,832397543355072512,11617,2120
324,832369877331693569,16661,3050
325,832273440279240704,11015,2238
326,832215909146226688,0,5971
327,832215726631055365,0,8941
328,832088576586297345,61,2
329,832040443403784192,0,9186
330,832032802820481025,17329,4470
331,831939777352105988,23261,5881
332,831926988323639298,325,34
333,831911600680497154,26726,6233
334,831670449226514432,10132,1743
335,831650051525054464,6916,1852
336,831552930092285952,8721,2243
337,831322785565769729,9022,1489
338,831315979191906304,6339,1070
339,831309418084069378,11436,2365
340,831262627380748289,11543,1967
341,830956169170665475,7743,1430
342,830583320585068544,64708,16037
343,830173239259324417,0,5452
344,830097400375152640,9474,2811
345,829878982036299777,0,4800
346,829861396166877184,11922,1860
347,829501995190984704,30825,10161
348,829449946868879360,10175,1933
349,829141528400556032,23660,7042
350,829011960981237760,51843,15740
351,828801551087042563,0,3283
352,828770345708580865,24859,5625
353,828708714936930305,35466,10760
354,828650029636317184,9255,1290
355,828409743546925057,6190,1115
356,828408677031882754,7483,1238
357,828381636999917570,12261,2143
358,828376505180889089,7196,1031
359,828372645993398273,12245,2818
360,828361771580813312,2121,170
361,828046555563323392,11429,2756
362,828011680017821696,10084,2079
363,827933404142436356,19507,5045
364,827653905312006145,15079,2909
365,827600520311402496,7280,902
366,827324948884643840,15408,2914
367,827199976799354881,10301,2136
368,826958653328592898,20972,4800
369,826848821049180160,35193,9749
370,826615380357632002,0,3832
371,826598799820865537,4995,239
372,826598365270007810,9741,2263
373,826476773533745153,17913,4038
374,826240494070030336,12929,2515
375,826204788643753985,4748,883
376,826115272272650244,15227,2993
377,825876512159186944,10213,1792
378,825829644528148480,12415,2416
379,825535076884762624,55598,16961
380,825147591692263424,17816,4366
381,825120256414846976,0,1204
382,825026590719483904,6100,1204
383,824796380199809024,0,5315
384,824775126675836928,14543,3379
385,824663926340194305,10248,1705
386,824325613288833024,11522,10233
387,824297048279236611,14674,3713
388,824025158776213504,4709,581
389,823939628516474880,10379,2627
390,823719002937630720,0,10771
391,823699002998870016,13620,2435
392,823581115634085888,12686,2529
393,823333489516937216,689,22
394,823322678127919110,15319,3869
395,823269594223824897,0,9556
396,822975315408461824,16903,3327
397,822872901745569793,128180,41621
398,822859134160621569,12896,2190
399,822647212903690241,0,6178
400,822610361945911296,14437,2834
401,822489057087389700,17691,6178
402,822462944365645825,27204,13756
403,822244816520155136,34120,9556
404,822163064745328640,0,4576
405,821886076407029760,11035,2232
406,821813639212650496,0,3248
407,821765923262631936,8188,1610
408,821522889702862852,7836,1690
409,821421320206483457,0,5373
410,821407182352777218,11452,4170
411,821153421864615936,244,10
412,821149554670182400,8400,1889
413,821107785811234820,9363,2060
414,821044531881721856,12362,2203
415,820837357901512704,0,6486
416,820749716845686786,30815,9557
417,820690176645140481,11960,3124
418,820494788566847489,0,544
419,820446719150292993,0,2476
420,820314633777061888,3269,544
421,820078625395449857,19313,6074
422,820013781606658049,0,1133
423,819952236453363712,5191,1133
424,819924195358416896,12632,4716
425,819711362133872643,13054,3006
426,819588359383371776,9429,1936
427,819347104292290561,7058,1171
428,819238181065359361,2204,395
429,819227688460238848,22508,6486
430,819015337530290176,0,35870
431,819015331746349057,0,18454
432,819006400881917954,44356,18454
433,819004803107983360,85176,35870
434,818646164899774465,0,20263
435,818627210458333184,21900,7324
436,818614493328580609,9606,2446
437,818588835076603904,0,5923
438,818536468981415936,10609,2371
439,818307523543449600,0,7800
440,818259473185828864,10747,2180
441,818145370475810820,12000,2470
442,817908911860748288,4749,767
443,817827839487737858,50332,26217
444,817777686764523521,10524,2602
445,817536400337801217,11509,2847
446,817502432452313088,0,3283
447,817423860136083457,32958,14184
448,817415592588222464,5471,922
449,817181837579653120,0,8174
450,817171292965273600,8578,1961
451,817120970343411712,11933,2518
452,817056546584727552,8402,1591
453,816829038950027264,0,4560
454,816816676327063552,9780,1966
455,816697700272001025,9561,2130
456,816450570814898180,29690,7800
457,816336735214911488,8416,1884
458,816091915477250048,8746,2067
459,816062466425819140,0,985
460,816014286006976512,0,5086
461,815990720817401858,4839,985
462,815966073409433600,21880,8174
463,815745968457060357,0,4008
464,815736392542261248,9638,2204
465,815639385530101762,8058,1601
466,815390420867969024,10139,3694
467,814986499976527872,7494,1235
468,814638523311648768,11045,2626
469,814578408554463233,0,5664
470,814530161257443328,8462,1813
471,814153002265309185,28121,8408
472,813944609378369540,0,3093
473,813910438903693312,9125,1806
474,813812741911748608,35726,13568
475,813800681631023104,8150,1710
476,813217897535406080,18236,7098
477,813202720496779264,9063,1771
478,813187593374461952,19445,4221
479,813172488309972993,9089,1877
480,813157409116065792,7603,2139
481,813142292504645637,8336,2326
482,813130366689148928,4405,432
483,813127251579564032,11573,3024
484,813112105746448384,10106,2661
485,813096984823349248,10361,3526
486,813081950185472002,9713,2709
487,813066809284972545,7782,1897
488,813051746834595840,20543,7154
489,812781120811126785,7389,1852
490,812709060537683968,6497,1404
491,812503143955202048,5942,1189
492,812466873996607488,7819,1871
493,812372279581671427,13380,3562
494,811985624773361665,7133,1365
495,811744202451197953,7396,1545
496,811647686436880384,5493,718
497,811627233043480576,12482,2977
498,811386762094317568,20518,6214
499,810984652412424192,5210,1390
500,810896069567610880,8830,1712
501,810657578271330305,10754,2559
502,810284430598270976,34462,10932
503,810254108431155201,14428,3283
504,809920764300447744,15279,3833
505,809808892968534016,0,4762
506,809448704142938112,6824,1421
507,809220051211603969,19520,5452
508,809084759137812480,12981,3436
509,808838249661788160,9932,2965
510,808733504066486276,7751,2108
511,808501579447930884,11103,2542
512,808344865868283904,41647,20263
513,808134635716833280,0,5752
514,808106460588765185,8652,2149
515,808001312164028416,12294,3453
516,807621403335917568,14319,3519
517,807106840509214720,115713,53843
518,807059379405148160,0,7150
519,807010152071229440,12890,3773
520,806629075125202948,73113,33695
521,806620845233815552,0,5376
522,806576416489959424,4805,1909
523,806542213899489280,10032,2297
524,806242860592926720,0,11319
525,806219024703037440,6345,1168
526,805958939288408065,0,5220
527,805932879469572096,8157,1881
528,805826884734976000,6457,1777
529,805823200554876929,0,7794
530,805520635690676224,5648,1619
531,805487436403003392,8657,2471
532,805207613751304193,7708,1679
533,804738756058218496,13447,3730
534,804475857670639616,6033,1966
535,804413760345620481,0,3146
536,804026241225523202,43570,15689
537,803773340896923648,9881,2678
538,803692223237865472,0,7245
539,803638050916102144,10747,4049
540,803380650405482500,7633,1833
541,803321560782307329,0,5175
542,803276597545603072,9852,2397
543,802952499103731712,8872,1951
544,802624713319034886,0,2829
545,802600418706604034,6984,1422
546,802572683846291456,8806,2452
547,802323869084381190,15898,5705
548,802265048156610565,6826,1345
549,802239329049477120,8938,2557
550,802185808107208704,0,268
551,801958328846974976,7626,1670
552,801854953262350336,1769,233
553,801538201127157760,8085,2019
554,801285448605831168,5932,801
555,801167903437357056,23982,5752
556,801127390143516673,0,3858
557,801115127852503040,7934,2051
558,800859414831898624,676,96
559,800855607700029440,0,1566
560,800751577355128832,10393,2727
561,800513324630806528,12923,2924
562,800459316964663297,9335,2127
563,800443802682937345,0,4192
564,800388270626521089,10968,2740
565,800188575492947969,0,3839
566,800141422401830912,14996,2476
567,800018252395122689,27811,12809
568,799774291445383169,0,4542
569,799757965289017345,8242,2099
570,799422933579902976,7934,1879
571,799308762079035393,0,5315
572,799297110730567681,9701,2683
573,799063482566066176,7949,2424
574,798933969379225600,12830,4352
575,798925684722855936,7388,1410
576,798705661114773508,0,6483
577,798701998996647937,0,7568
578,798697898615730177,0,6364
579,798694562394996736,0,4843
580,798686750113755136,0,2270
581,798682547630837760,0,4627
582,798673117451325440,0,5437
583,798665375516884993,0,3820
584,798644042770751489,0,1805
585,798628517273620480,0,1932
586,798585098161549313,0,5526
587,798576900688019456,0,5703
588,798340744599797760,0,3253
589,798209839306514432,10240,2497
590,797971864723324932,11367,3029
591,797545162159308800,14305,4763
592,797236660651966464,19568,6406
593,797165961484890113,222,26
594,796904159865868288,0,8711
595,796865951799083009,7550,1887
596,796759840936919040,11591,2958
597,796563435802726400,0,7040
598,796484825502875648,7432,1714
599,796387464403357696,10809,4049
600,796177847564038144,0,13922
601,796149749086875649,31642,13922
602,796125600683540480,4888,1756
603,796116448414461957,8925,2344
604,796080075804475393,8302,2250
605,796031486298386433,10616,3636
606,795464331001561088,48558,22940
607,795400264262053889,9851,2790
608,795076730285391872,15891,5316
609,794983741416415232,0,3283
610,794926597468000259,10047,2257
611,794355576146903043,0,10035
612,794332329137291264,9441,2616
613,794205286408003585,9078,3244
614,793962221541933056,16515,4762
615,793845145112371200,9069,1811
616,793614319594401792,0,3052
617,793601777308463104,7843,1575
618,793500921481273345,10485,2320
619,793286476301799424,24135,8941
620,793271401113350145,8550,2340
621,793256262322548741,19617,8134
622,793241302385262592,10330,3218
623,793226087023144960,9621,2807
624,793210959003287553,8760,2726
625,793195938047070209,14972,5487
626,793180763617361921,6818,1944
627,793165685325201412,9222,2716
628,793150605191548928,6069,1657
629,793135492858580992,6288,2448
630,793120401413079041,12424,3814
631,792913359805018113,14034,3875
632,792883833364439040,11090,4156
633,792773781206999040,7225,1641
634,792394556390137856,13160,4191
635,792050063153438720,6999,1738
636,791821351946420224,0,20572
637,791784077045166082,0,9306
638,791780927877898241,0,3721
639,791774931465953280,44234,21612
640,791672322847637504,11541,3053
641,791406955684368384,12913,4008
642,791312159183634433,8602,2464
643,791026214425268224,0,3981
644,790987426131050500,9624,2074
645,790946055508652032,16371,4560
646,790723298204217344,0,2252
647,790698755171364864,8057,1875
648,790581949425475584,20254,6919
649,790337589677002753,7687,1846
650,790277117346975746,12322,3094
651,790227638568808452,0,3464
652,789986466051088384,9084,2252
653,789960241177853952,0,3993
654,789903600034189313,10143,4034
655,789628658055020548,7337,1721
656,789599242079838210,6614,1875
657,789530877013393408,11500,3283
658,789314372632018944,8467,2229
659,789280767834746880,0,4788
660,789268448748703744,8944,2552
661,789137962068021249,9524,2709
662,788908386943430656,26906,12154
663,788765914992902144,26802,10035
664,788552643979468800,0,6953
665,788412144018661376,15228,5127
666,788178268662984705,7099,2044
667,788150585577050112,5997,1247
668,788070120937619456,0,3351
669,788039637453406209,6009,1278
670,787810552592695296,8447,2970
671,787717603741622272,10060,2700
672,787397959788929025,10681,2778
673,787322443945877504,7638,1694
674,787111942498508800,0,6565
675,786963064373534720,26112,7761
676,786729988674449408,0,2373
677,786709082849828864,17918,5971
678,786664955043049472,10368,2465
679,786595970293370880,9288,3048
680,786363235746385920,10665,3372
681,786286427768250368,7806,2754
682,786233965241827333,14934,4576
683,786051337297522688,1396,153
684,786036967502913536,0,6784
685,785927819176054784,11162,3099
686,785872687017132033,6566,1750
687,785639753186217984,7706,2179
688,785533386513321988,8889,1931
689,785515384317313025,5995,1218
690,785264754247995392,7113,1585
691,785170936622350336,11768,4698
692,784826020293709826,9893,3146
693,784517518371221505,8800,2454
694,784431430411685888,5610,1234
695,784183165795655680,19630,7794
696,784057939640352768,29096,10771
697,783839966405230592,29325,10469
698,783821107061198850,7210,1903
699,783695101801398276,10233,3112
700,783466772167098368,8261,2165
701,783391753726550016,16522,5307
702,783347506784731136,0,5371
703,783334639985389568,28440,11319
704,783085703974514689,7975,2124
705,782969140009107456,23599,7150
706,782747134529531904,7306,1368
707,782722598790725632,16868,5220
708,782598640137187329,7630,1824
709,782305867769217024,16263,5373
710,782021823840026624,0,5993
711,781955203444699136,10902,3258
712,781661882474196992,10193,2630
713,781655249211752448,3909,1099
714,781524693396357120,20279,5377
715,781308096455073793,6987,2477
716,781251288990355457,8210,2007
717,781163403222056960,9578,2671
718,780931614150983680,21139,7040
719,780858289093574656,7036,1946
720,780800785462489090,5352,1253
721,780601303617732608,11820,3248
722,780543529827336192,6148,1693
723,780496263422808064,0,3550
724,780476555013349377,0,109
725,780459368902959104,5171,1038
726,780192070812196864,8493,2170
727,780092040432480260,0,2222
728,780074436359819264,11826,4782
729,779834332596887552,18397,6784
730,779377524342161408,8549,3004
731,779124354206535695,0,17688
732,779056095788752897,14395,4373
733,778990705243029504,19441,6941
734,778774459159379968,0,9551
735,778764940568104960,841,352
736,778748913645780993,6700,1262
737,778650543019483137,5611,1445
738,778624900596654080,4489,975
739,778408200802557953,13286,4163
740,778396591732486144,0,11792
741,778383385161035776,5668,1059
742,778286810187399168,10115,3190
743,778039087836069888,8272,2557
744,778027034220126208,6385,1548
745,777953400541634568,0,3397
746,777885040357281792,6197,1573
747,777684233540206592,10953,2829
748,777641927919427584,0,4082
749,777621514455814149,8510,2427
750,777189768882946048,13850,4167
751,776819012571455488,0,13216
752,776813020089548800,4764,1161
753,776477788987613185,8576,2673
754,776249906839351296,0,8804
755,776218204058357768,29052,15294
756,776201521193218049,9320,2431
757,776113305656188928,11477,4192
758,776088319444877312,1785,146
759,775898661951791106,0,16179
760,775842724423557120,11397,2566
761,775733305207554048,13529,3858
762,775729183532220416,12661,4450
763,775364825476165632,7188,2846
764,775350846108426240,9884,3767
765,775085132600442880,15125,4542
766,774757898236878852,8387,1723
767,774639387460112384,6564,1669
768,774314403806253056,21199,5315
769,773985732834758656,10467,3724
770,773922284943896577,6236,1683
771,773704687002451968,6433,1556
772,773670353721753600,5209,1262
773,773547596996571136,21511,5923
774,773336787167145985,0,4863
775,773308824254029826,22707,7205
776,773247561583001600,9202,3145
777,773191612633579521,9730,3994
778,772877495989305348,8319,3737
779,772826264096874500,7822,2280
780,772615324260794368,0,3262
781,772581559778025472,6319,1646
782,772193107915964416,5851,1334
783,772152991789019136,3704,1096
784,772117678702071809,3663,715
785,772114945936949249,2660,457
786,772102971039580160,3891,901
787,771908950375665664,6373,1813
788,771770456517009408,11669,3253
789,771500966810099713,8041,2514
790,771380798096281600,10217,4863
791,771171053431250945,0,7164
792,771136648247640064,8900,2818
793,771102124360998913,6053,1380
794,771014301343748096,6707,1594
795,770787852854652928,4798,1156
796,770772759874076672,5043,1366
797,770655142660169732,7153,1724
798,770414278348247044,6148,2013
799,770293558247038976,6040,1411
800,770093767776997377,0,2929
801,770069151037685760,7369,2209
802,769940425801170949,30343,9186
803,769695466921623552,6241,1623
804,769335591808995329,0,7449
805,769212283578875904,5245,1654
806,768970937022709760,13874,6254
807,768909767477751808,0,2574
808,768855141948723200,4067,858
809,768609597686943744,3988,1152
810,768596291618299904,4894,1234
811,768554158521745409,0,5612
812,768473857036525572,13227,3285
813,768193404517830656,10554,3397
814,767884188863397888,4619,1324
815,767754930266464257,15534,5175
816,767500508068192258,7288,2255
817,767191397493538821,11932,3617
818,767122157629476866,9892,2752
819,766864461642756096,0,5395
820,766793450729734144,4895,1309
821,766714921925144576,2533,362
822,766693177336135680,3899,769
823,766423258543644672,5824,1521
824,766313316352462849,6577,1812
825,766078092750233600,0,2520
826,766069199026450432,4097,813
827,766008592277377025,3650,479
828,765719909049503744,7028,2082
829,765669560888528897,5037,1186
830,765395769549590528,25931,3260
831,765371061932261376,6865,2088
832,765222098633691136,11295,3262
833,764857477905154048,6266,1718
834,764259802650378240,5835,1444
835,763956972077010945,742,51
836,763837565564780549,12175,3981
837,763183847194451968,5202,1417
838,763167063695355904,0,2893
839,763103485927849985,7149,2215
840,762699858130116608,11752,3463
841,762471784394268675,10878,6161
842,762464539388485633,9977,3993
843,762316489655476224,4641,1071
844,762035686371364864,30835,14895
845,761976711479193600,5239,1913
846,761750502866649088,0,3754
847,761745352076779520,4146,832
848,761672994376806400,47834,27895
849,761599872357261312,3998,1144
850,761371037149827077,0,17351
851,761334018830917632,5019,1403
852,761292947749015552,4347,1050
853,761227390836215808,5175,1509
854,761004547850530816,10999,3351
855,760893934457552897,3697,930
856,760656994973933572,6378,1831
857,760641137271070720,4820,1241
858,760539183865880579,7325,3479
859,760521673607086080,4069,1337
860,760290219849637889,25936,11012
861,760252756032651264,3818,836
862,760190180481531904,5520,1723
863,760153949710192640,0,30
864,759943073749200896,5752,2002
865,759923798737051648,14200,5395
866,759846353224826880,6510,1893
867,759793422261743616,5768,1832
868,759557299618865152,4537,1147
869,759447681597108224,8229,2372
870,759446261539934208,1617,467
871,759197388317847553,5902,1867
872,759159934323924993,0,1114
873,759099523532779520,14045,3977
874,759047813560868866,6271,1922
875,758854675097526272,3436,870
876,758828659922702336,10847,3690
877,758740312047005698,5558,1553
878,758474966123810816,3672,954
879,758467244762497024,4640,2119
880,758405701903519748,5034,1832
881,758355060040593408,3262,1018
882,758099635764359168,18384,9551
883,758041019896193024,2616,355
884,757741869644341248,6637,3137
885,757729163776290825,0,7571
886,757725642876129280,4398,1162
887,757611664640446465,4422,1049
888,757597904299253760,0,288
889,757596066325864448,4202,1012
890,757400162377592832,14623,6553
891,757393109802180609,5621,1662
892,757354760399941633,4362,1360
893,756998049151549440,6063,1904
894,756939218950160384,6425,1915
895,756651752796094464,4871,1242
896,756526248105566208,10046,3442
897,756303284449767430,3808,1060
898,756288534030475264,42599,16980
899,756275833623502848,6167,1465
900,755955933503782912,7062,2746
901,755206590534418437,15882,5118
902,755110668769038337,20455,10623
903,754874841593970688,0,7567
904,754856583969079297,6666,2400
905,754747087846248448,2498,498
906,754482103782404096,5108,1872
907,754449512966619136,3613,699
908,754120377874386944,7618,2252
909,753655901052166144,5634,2083
910,753420520834629632,7596,3398
911,753398408988139520,5536,1818
912,753375668877008896,7376,2222
913,753298634498793472,0,5437
914,753294487569522689,3241,998
915,753039830821511168,35794,19971
916,753026973505581056,3786,913
917,752932432744185856,12169,6565
918,752917284578922496,6711,1503
919,752701944171524096,0,2744
920,752682090207055872,5804,1524
921,752660715232722944,4217,1495
922,752568224206688256,5299,2176
923,752519690950500352,7104,3290
924,752334515931054080,3684,1055
925,752309394570878976,0,15502
926,752173152931807232,5747,1749
927,751950017322246144,2951,872
928,751937170840121344,4989,1256
929,751830394383790080,5612,1864
930,751793661361422336,5594,2763
931,751598357617971201,7683,2923
932,751583847268179968,4235,1050
933,751538714308972544,4863,1199
934,751456908746354688,3103,959
935,751251247299190784,12090,5605
936,751205363882532864,6093,1730
937,751132876104687617,4882,1243
938,750868782890057730,4611,1303
939,750719632563142656,12691,4788
940,750506206503038976,4281,1096
941,750429297815552001,12716,4082
942,750383411068534784,4391,1092
943,750381685133418496,669,27
944,750147208377409536,3002,917
945,750132105863102464,3497,1229
946,750117059602808832,4189,1253
